"Идентиф.";"Обозначение";"Посад. место";"Количество";"Значение";"Поставщик и справка";
1;"SW6";"MTS";1;"MTS-123";;;
2;"U3";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias";1;"TP4056-42-ESOP8";;;
3;"U1";"ESP32-S3-WROOM-1";1;"ESP32-S3-WROOM-1";;;
4;"SW5";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles";1;"RotaryEncoder_Switch_EC11";;;
5;"SW4,SW3,SW2,SW1";"SW_Cherry_MX_1.00u_PCB";4;"Cherry MX Red";;;
6;"J1";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_14P";;;
7;"C4,C5";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"1uF";;;
8;"F1";"Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"0.5А 13.2В";;;
9;"C6,C7";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"10uF";;;
10;"R8,R7";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"1k";;;
11;"R6";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"1.2k";;;
12;"SW7";"SW_PUSH-12mm_Wuerth-430476085716";1;"boot";;;
13;"D2";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"Green";;;
14;"R2,R1";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"5.1K";;;
15;"R4,R5";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";2;"10К";;;
16;"SW8";"SW_PUSH-12mm_Wuerth-430476085716";1;"rst";;;
17;"C2,C3";"C_1206_3216Metric_Pad1.33x1.80mm_HandSolder";2;"100nF";;;
18;"D1";"LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder";1;"Red";;;
19;"R3";"R_1206_3216Metric_Pad1.30x1.75mm_HandSolder";1;"0.4";;;
20;"U2";"SOT-23-5";1;"AP2112K-3.3";;;
21;"BT1";"AMASS_XT60-M_1x02_P7.20mm_Vertical";1;"3.7V 3Ah";;;
22;"lcd1";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"2004";;;
23;"D3,D4";"D_SOD-123";2;"MBR0540";;;
